timestamp,normU,maxDeltaAlpha,interfaceHeightMaxRel,interfaceHeightMinRel
0,0,nan,-0.00084,-0.00084
0.000844448,0.000180365719579,0.00364434,-0.000836927557374,-0.000838056811961
0.00230844,0.000742931735777,0.06802332,-0.000775154617609,-0.000809466291328
0.00342328,0.00104976170299,0.1023686,-0.000669765360978,-0.000726022595636
0.00424338,0.00112898428491,0.081491,-0.00058408528304,-0.000628772692118
0.0048912,0.0011243039278,0.061176,-0.000514369449378,-0.000559536875242
0.00560913,0.00108405458692,0.058804,-0.000442904817308,-0.000546601721146
0.00624173,0.00100428152365,0.039685,-0.000366194405691,-0.000554150083836
0.00673097,0.00091242916324,0.021358,-0.000320875664393,-0.000566145506525
0.00719073,0.000879532848813,0.013343,-0.000290971013942,-0.000579871258744
0.00768082,0.000887951113979,0.016477,-0.000271775971675,-0.00059560852435
0.00822272,0.000960454953462,0.01791,-0.000263108289323,-0.000612268991948
0.00881579,0.00110023977322,0.015871,-0.000264182964013,-0.000627935323072
0.00944463,0.00126257260243,0.010405,-0.000270849918806,-0.000640155382496
0.0101056,0.00139421655736,0.006219,-0.000277489506216,-0.000648001916568
0.0107959,0.00150177533958,0.006657,-0.00028040355031,-0.00065123877548
0.011506,0.00153290729694,0.01506,-0.000279605555565,-0.000648745626377
0.0122275,0.00155401495221,0.019949,-0.000271724031559,-0.000639626059881
0.0129551,0.00157692383278,0.022195,-0.00025444696179,-0.000625380767763
0.0136861,0.00159609686955,0.020745,-0.000231384462564,-0.00060743319441
0.0144156,0.00166145389428,0.014934,-0.000213084190489,-0.000586726883456
0.0151241,0.00176754917782,0.014406,-0.000210787865007,-0.000565980059043
0.0158244,0.00188556381139,0.011128,-0.000230854650721,-0.000549327963539
0.0165511,0.00194647807883,0.018649,-0.000275982168974,-0.00054079760442
0.0178753,0.00195715437152,0.057501,-0.000399090432215,-0.000555966969487
0.0193561,0.00194024879759,0.075185,-0.000530695807913,-0.000605879276503
0.0204627,0.00179180894521,0.047185,-0.000600350115034,-0.000643885233021
0.0219117,0.00146067920405,0.044023,-0.000658133268453,-0.000679261359575
0.0236547,0.00102969349778,0.024245,-0.00068725413585,-0.0006948545855
0.0248772,0.00102256719602,0.013457,-0.000677322612643,-0.000684076173945
0.0257718,0.00119800406376,0.018888,-0.00065424750675,-0.000662426259217
0.0268202,0.0014965305401,0.033957,-0.000612985113872,-0.000624995321557
0.027965,0.00176865232028,0.045085,-0.000548165538874,-0.000590998782652
